meme_id,Level1,Level2
209,TROLL/ OPPOSE,Intersection
210,TROLL/ OPPOSE,Against individual person
211,TROLL/ OPPOSE,Against party
212,TROLL/ OPPOSE,Against individual person
213,TROLL/ OPPOSE,Against party
214,TROLL/ OPPOSE,Against party
216,TROLL/ OPPOSE,Against individual person
218,TROLL/ OPPOSE,Against individual person
219,TROLL/ OPPOSE,Against individual person
220,TROLL/ OPPOSE,Against individual person
221,TROLL/ OPPOSE,Against individual person
222,TROLL/ OPPOSE,Against party
223,SUPPORT,Support for party
224,TROLL/ OPPOSE,Against party
225,TROLL/ OPPOSE,Against individual person
226,TROLL/ OPPOSE,Against individual person
227,TROLL/ OPPOSE,Against individual person
228,TROLL/ OPPOSE,Against individual person
229,TROLL/ OPPOSE,Against party
230,TROLL/ OPPOSE,Against individual person
232,TROLL/ OPPOSE,Against individual person
233,TROLL/ OPPOSE,Against individual person
234,TROLL/ OPPOSE,Against individual person
235,TROLL/ OPPOSE,Against individual person
236,TROLL/ OPPOSE,Against individual person
237,TROLL/ OPPOSE,Against individual person
238,TROLL/ OPPOSE,Against individual person
239,TROLL/ OPPOSE,Intersection
240,TROLL/ OPPOSE,Intersection
241,TROLL/ OPPOSE,Against individual person
243,TROLL/ OPPOSE,Against individual person
245,TROLL/ OPPOSE,Against individual person
246,TROLL/ OPPOSE,Against individual person
247,TROLL/ OPPOSE,Against individual person
248,TROLL/ OPPOSE,Against individual person
249,TROLL/ OPPOSE,Against individual person
250,TROLL/ OPPOSE,Against individual person
251,TROLL/ OPPOSE,Against individual person
254,TROLL/ OPPOSE,Against individual person
255,TROLL/ OPPOSE,Against individual person
256,TROLL/ OPPOSE,Against individual person
257,TROLL/ OPPOSE,Against individual person
258,TROLL/ OPPOSE,Against individual person
259,TROLL/ OPPOSE,Against individual person
260,TROLL/ OPPOSE,Against individual person
262,TROLL/ OPPOSE,Against individual person
263,TROLL/ OPPOSE,Against party
264,TROLL/ OPPOSE,Against individual person
265,TROLL/ OPPOSE,Against individual person
266,TROLL/ OPPOSE,Against individual person
267,TROLL/ OPPOSE,Against individual person
269,TROLL/ OPPOSE,Against individual person
272,TROLL/ OPPOSE,Against individual person
273,TROLL/ OPPOSE,Against party
275,TROLL/ OPPOSE,Against individual person
276,TROLL/ OPPOSE,Against individual person
278,TROLL/ OPPOSE,Against individual person
279,TROLL/ OPPOSE,Against individual person
280,TROLL/ OPPOSE,Against individual person
281,TROLL/ OPPOSE,Against individual person
282,TROLL/ OPPOSE,Against individual person
283,TROLL/ OPPOSE,Against individual person
284,TROLL/ OPPOSE,Against party
285,TROLL/ OPPOSE,Against individual person
286,TROLL/ OPPOSE,Against individual person
287,TROLL/ OPPOSE,Intersection
288,TROLL/ OPPOSE,Against party
290,TROLL/ OPPOSE,Against individual person
291,TROLL/ OPPOSE,Against individual person
292,TROLL/ OPPOSE,Against party
293,TROLL/ OPPOSE,Intersection
294,TROLL/ OPPOSE,Against individual person
295,TROLL/ OPPOSE,Against individual person
297,TROLL/ OPPOSE,Against party
298,TROLL/ OPPOSE,Against individual person
299,TROLL/ OPPOSE,Against individual person
300,TROLL/ OPPOSE,Intersection
301,TROLL/ OPPOSE,Against individual person
302,TROLL/ OPPOSE,Against individual person
303,SUPPORT,Support for individual person
304,TROLL/ OPPOSE,Against individual person
305,TROLL/ OPPOSE,Against party
306,TROLL/ OPPOSE,Against individual person
307,TROLL/ OPPOSE,Against individual person
308,SUPPORT,Support for individual person
310,TROLL/ OPPOSE,Against party
311,TROLL/ OPPOSE,Against party
312,TROLL/ OPPOSE,Against individual person
313,TROLL/ OPPOSE,Against party
315,TROLL/ OPPOSE,Against individual person
317,TROLL/ OPPOSE,Against individual person
318,TROLL/ OPPOSE,Intersection
319,TROLL/ OPPOSE,Intersection
320,TROLL/ OPPOSE,Intersection
321,TROLL/ OPPOSE,Against individual person
322,TROLL/ OPPOSE,Against party
323,TROLL/ OPPOSE,Against party
324,TROLL/ OPPOSE,Against party
325,TROLL/ OPPOSE,Against individual person
326,TROLL/ OPPOSE,Against party
327,TROLL/ OPPOSE,Intersection
329,TROLL/ OPPOSE,Against party
330,TROLL/ OPPOSE,Intersection
332,TROLL/ OPPOSE,Against individual person
333,TROLL/ OPPOSE,Against individual person
334,TROLL/ OPPOSE,Against party
335,TROLL/ OPPOSE,Against individual person
336,TROLL/ OPPOSE,Against individual person
337,TROLL/ OPPOSE,Against individual person
339,TROLL/ OPPOSE,Against party
341,TROLL/ OPPOSE,Against individual person
342,TROLL/ OPPOSE,Against individual person
343,TROLL/ OPPOSE,Against individual person
345,TROLL/ OPPOSE,Against individual person
347,TROLL/ OPPOSE,Against individual person
348,TROLL/ OPPOSE,Against individual person
349,TROLL/ OPPOSE,Against individual person
350,TROLL/ OPPOSE,Against individual person
351,TROLL/ OPPOSE,Against party
352,TROLL/ OPPOSE,Against party
353,TROLL/ OPPOSE,Against individual person
354,TROLL/ OPPOSE,Against individual person
355,TROLL/ OPPOSE,Against party
356,TROLL/ OPPOSE,Against individual person
357,TROLL/ OPPOSE,Against individual person
358,TROLL/ OPPOSE,Against individual person
359,TROLL/ OPPOSE,Against individual person
360,TROLL/ OPPOSE,Against individual person
361,TROLL/ OPPOSE,Against party
362,TROLL/ OPPOSE,Against individual person
363,TROLL/ OPPOSE,Against party
364,TROLL/ OPPOSE,Against party
365,TROLL/ OPPOSE,Against individual person
366,TROLL/ OPPOSE,Against individual person
368,TROLL/ OPPOSE,Against individual person
369,TROLL/ OPPOSE,Intersection
370,TROLL/ OPPOSE,Against individual person
371,TROLL/ OPPOSE,Intersection
372,TROLL/ OPPOSE,Intersection
374,TROLL/ OPPOSE,Against individual person
375,TROLL/ OPPOSE,Against individual person
376,TROLL/ OPPOSE,Against party
377,TROLL/ OPPOSE,Intersection
378,TROLL/ OPPOSE,Against individual person
381,TROLL/ OPPOSE,Against individual person
382,TROLL/ OPPOSE,Against individual person
383,TROLL/ OPPOSE,Against individual person
384,TROLL/ OPPOSE,Against party
385,TROLL/ OPPOSE,Against individual person
387,TROLL/ OPPOSE,Intersection
389,TROLL/ OPPOSE,Intersection
391,TROLL/ OPPOSE,Against individual person
393,TROLL/ OPPOSE,Against individual person
394,TROLL/ OPPOSE,Against individual person
395,TROLL/ OPPOSE,Intersection
396,TROLL/ OPPOSE,Against individual person
397,TROLL/ OPPOSE,Intersection
398,TROLL/ OPPOSE,Against individual person
399,TROLL/ OPPOSE,Intersection
400,TROLL/ OPPOSE,Against individual person
401,TROLL/ OPPOSE,Intersection
403,TROLL/ OPPOSE,Intersection
404,TROLL/ OPPOSE,Against individual person
405,TROLL/ OPPOSE,Against party
406,TROLL/ OPPOSE,Against individual person
407,TROLL/ OPPOSE,Against individual person
408,TROLL/ OPPOSE,Against individual person
409,TROLL/ OPPOSE,Against individual person
410,TROLL/ OPPOSE,Intersection
411,TROLL/ OPPOSE,Against individual person
412,TROLL/ OPPOSE,Against individual person
413,TROLL/ OPPOSE,Intersection
415,TROLL/ OPPOSE,Against individual person
416,TROLL/ OPPOSE,Against individual person
417,TROLL/ OPPOSE,Against individual person
418,TROLL/ OPPOSE,Against individual person
420,TROLL/ OPPOSE,Against individual person
421,TROLL/ OPPOSE,Against individual person
422,TROLL/ OPPOSE,Against individual person
423,TROLL/ OPPOSE,Against individual person
424,TROLL/ OPPOSE,Against individual person
425,SUPPORT,Support for individual person
426,TROLL/ OPPOSE,Against individual person
427,TROLL/ OPPOSE,Against individual person
429,TROLL/ OPPOSE,Against individual person
430,TROLL/ OPPOSE,Against party
431,TROLL/ OPPOSE,Intersection
432,TROLL/ OPPOSE,Against party
433,TROLL/ OPPOSE,Against individual person
434,TROLL/ OPPOSE,Against party
435,TROLL/ OPPOSE,Against individual person
437,TROLL/ OPPOSE,Against individual person
438,TROLL/ OPPOSE,Against party
439,TROLL/ OPPOSE,Intersection
440,SUPPORT,Support for party
441,SUPPORT,Support for individual person
442,TROLL/ OPPOSE,Against individual person
443,TROLL/ OPPOSE,Intersection
444,TROLL/ OPPOSE,Intersection
445,TROLL/ OPPOSE,Against individual person
446,TROLL/ OPPOSE,Against individual person
447,TROLL/ OPPOSE,Against party
448,TROLL/ OPPOSE,Against party
449,TROLL/ OPPOSE,Against individual person
450,TROLL/ OPPOSE,Against party
451,TROLL/ OPPOSE,Against individual person
452,TROLL/ OPPOSE,Against individual person
453,TROLL/ OPPOSE,Against individual person
454,TROLL/ OPPOSE,Against individual person
457,TROLL/ OPPOSE,Against party
458,TROLL/ OPPOSE,Against individual person
461,TROLL/ OPPOSE,Against individual person
463,TROLL/ OPPOSE,Against individual person
464,TROLL/ OPPOSE,Against individual person
465,TROLL/ OPPOSE,Against individual person
466,TROLL/ OPPOSE,Against party
468,TROLL/ OPPOSE,Against party
469,TROLL/ OPPOSE,Against party
470,TROLL/ OPPOSE,Intersection
471,TROLL/ OPPOSE,Against individual person
473,TROLL/ OPPOSE,Against party
474,TROLL/ OPPOSE,Against party
478,TROLL/ OPPOSE,Against individual person
479,TROLL/ OPPOSE,Against individual person
480,TROLL/ OPPOSE,Against individual person
481,TROLL/ OPPOSE,Against individual person
482,TROLL/ OPPOSE,Against individual person
483,TROLL/ OPPOSE,Against party
484,TROLL/ OPPOSE,Against party
486,TROLL/ OPPOSE,Against party
487,TROLL/ OPPOSE,Intersection
488,TROLL/ OPPOSE,Against individual person
489,TROLL/ OPPOSE,Against individual person
491,TROLL/ OPPOSE,Against individual person
494,SUPPORT,Support for party
495,TROLL/ OPPOSE,Against individual person
496,TROLL/ OPPOSE,Against individual person
497,TROLL/ OPPOSE,Against individual person
498,TROLL/ OPPOSE,Against individual person
500,TROLL/ OPPOSE,Against individual person
501,TROLL/ OPPOSE,Against individual person
502,TROLL/ OPPOSE,Against individual person
503,TROLL/ OPPOSE,Against individual person
504,TROLL/ OPPOSE,Against individual person
507,TROLL/ OPPOSE,Against individual person
508,TROLL/ OPPOSE,Against individual person
510,TROLL/ OPPOSE,Against individual person
512,TROLL/ OPPOSE,Against individual person
513,TROLL/ OPPOSE,Against individual person
514,TROLL/ OPPOSE,Against individual person
515,TROLL/ OPPOSE,Against individual person
516,TROLL/ OPPOSE,Against individual person
517,TROLL/ OPPOSE,Against individual person
518,TROLL/ OPPOSE,Against individual person
519,TROLL/ OPPOSE,Against individual person
520,TROLL/ OPPOSE,Against individual person
522,TROLL/ OPPOSE,Against individual person
523,TROLL/ OPPOSE,Against party
524,TROLL/ OPPOSE,Against individual person
526,TROLL/ OPPOSE,Against individual person
527,TROLL/ OPPOSE,Against individual person
528,TROLL/ OPPOSE,Against individual person
529,TROLL/ OPPOSE,Against party
530,TROLL/ OPPOSE,Intersection
531,TROLL/ OPPOSE,Against individual person
532,TROLL/ OPPOSE,Against individual person
533,TROLL/ OPPOSE,Against party
534,TROLL/ OPPOSE,Against individual person
535,TROLL/ OPPOSE,Intersection
536,TROLL/ OPPOSE,Against individual person
537,TROLL/ OPPOSE,Against individual person
538,TROLL/ OPPOSE,Against individual person
539,TROLL/ OPPOSE,Intersection
540,TROLL/ OPPOSE,Against individual person
541,TROLL/ OPPOSE,Against individual person
542,TROLL/ OPPOSE,Against individual person
543,TROLL/ OPPOSE,Against individual person
544,TROLL/ OPPOSE,Against individual person
545,TROLL/ OPPOSE,Against individual person
546,TROLL/ OPPOSE,Against party
547,TROLL/ OPPOSE,Against individual person
548,TROLL/ OPPOSE,Intersection
549,TROLL/ OPPOSE,Against individual person
550,TROLL/ OPPOSE,Against individual person
551,TROLL/ OPPOSE,Against individual person
552,TROLL/ OPPOSE,Against individual person
553,TROLL/ OPPOSE,Against individual person
554,TROLL/ OPPOSE,Against individual person
555,TROLL/ OPPOSE,Against individual person
556,TROLL/ OPPOSE,Against individual person
557,TROLL/ OPPOSE,Against party
558,TROLL/ OPPOSE,Intersection
560,TROLL/ OPPOSE,Against individual person
562,TROLL/ OPPOSE,Against individual person
564,TROLL/ OPPOSE,Against individual person
565,TROLL/ OPPOSE,Intersection
566,TROLL/ OPPOSE,Against individual person
567,TROLL/ OPPOSE,Against individual person
568,TROLL/ OPPOSE,Against individual person
569,TROLL/ OPPOSE,Against individual person
570,TROLL/ OPPOSE,Against individual person
571,TROLL/ OPPOSE,Against individual person
572,TROLL/ OPPOSE,Against party
573,TROLL/ OPPOSE,Against individual person
574,TROLL/ OPPOSE,Against individual person
575,TROLL/ OPPOSE,Against individual person
576,TROLL/ OPPOSE,Intersection
577,TROLL/ OPPOSE,Against party
578,TROLL/ OPPOSE,Against individual person
579,TROLL/ OPPOSE,Against individual person
580,TROLL/ OPPOSE,Against individual person
581,TROLL/ OPPOSE,Against individual person
582,TROLL/ OPPOSE,Against individual person
583,SUPPORT,Support for party
585,TROLL/ OPPOSE,Intersection
587,TROLL/ OPPOSE,Against individual person
588,TROLL/ OPPOSE,Against party
589,TROLL/ OPPOSE,Against party
590,SUPPORT,Support for party
591,TROLL/ OPPOSE,Against party
592,TROLL/ OPPOSE,Against individual person
593,TROLL/ OPPOSE,Against individual person
594,TROLL/ OPPOSE,Against individual person
596,SUPPORT,Support for individual person
597,TROLL/ OPPOSE,Against individual person
599,TROLL/ OPPOSE,Against individual person
600,TROLL/ OPPOSE,Against individual person
